"date","event","description","entity","category","source_file","source_indices","document_sources"
"1999-01-01","Bologna Process","European Council agreement aimed at creating the European Higher Education Area based on quality standards.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2000-01-01","Lisbon Strategy","European Council agreement aimed at creating a competitive and dynamic knowledge-based economy.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2000-04-04","Middleware 2000 Publication","Publication of 'An architecture for distributed OASIS services' by Hine, Yao, Bacon, and Moody.","","Pipeline Development","Pipeline Timeline 1","3","Trust management for widely distributed systems - Department of Computer Science and Technology | - University of Cambridge"
"2000-09-06","POS9 Publication","Publication of 'Event storage and federation using ODMG' in the 9th International Workshop on Persistent Object Systems.","","Pipeline Development","Pipeline Timeline 1","3","Trust management for widely distributed systems - Department of Computer Science and Technology | - University of Cambridge"
"2001","Wikipedia begins","Wikipedia was founded as an open-source encyclopedia built on human collaboration and editorial consensus.","Wikipedia (Jimmy Wales and Larry Sanger)","Publication","Tech Events","2","Elon Musk, Grokipedia, and the battle for truth | Al Majalla"
"2001-05-03","SACMAT 2001 Publication","Publication of 'A model of oasis role-based access control and its support for active security' at the Sixth ACM Symposium.","","Pipeline Development","Pipeline Timeline 1","3","Trust management for widely distributed systems - Department of Computer Science and Technology | - University of Cambridge"
"2001-05-11","NSF Planning Meeting","Planning meeting at the National Science Foundation to develop the agenda for the December 2001 NBIC workshop.","","Pipeline Development","Pipeline Timeline 1","4","Converging Technologies for Improving Human Performance - Obama White House Archives"
"2001-09-01","Career Start","Carlos Hernández Corbato begins his university career, providing the long-term academic foundation for the research.","","Pipeline Development","Pipeline Timeline 1","5","Model-based Self-awareness Patterns for Autonomy - Carlos Hernandez Corbato"
"2001-11-01","Middleware 2001 Publication","Publication of 'Access control and trust in the use of widely distributed services' in Lecture Notes in Computer Science.","","Pipeline Development","Pipeline Timeline 1","3","Trust management for widely distributed systems - Department of Computer Science and Technology | - University of Cambridge"
"2001-12-03","NBIC Workshop","Two-day workshop on 'Converging Technologies to Improve Human Performance' (NBIC) involving scientific leaders and policymakers.","","Pipeline Development","Pipeline Timeline 1","4","Converging Technologies for Improving Human Performance - Obama White House Archives"
"2002-06-01","NSF/DOC Report Publication","Publication of 'Converging Technologies for Improving Human Performance' edited by Mihail C. Roco and William Sims Bainbridge.","","Pipeline Development","Pipeline Timeline 1","4","Converging Technologies for Improving Human Performance - Obama White House Archives"
"2002-11-01","ACM Journal Publication","Publication of 'A model of OASIS role-based access control and its support for active security' in ACM Transactions on Information and System Security.","","Pipeline Development","Pipeline Timeline 1","3","Trust management for widely distributed systems - Department of Computer Science and Technology | - University of Cambridge"
"2003-01-01","Modification DR 187 2003","The University of Trento modifies the research fellowship regulation DR894 1998.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2003-02-01","Dissertation Submission","Walt Yao submits his PhD dissertation to the University of Cambridge, Jesus College.","","Pipeline Development","Pipeline Timeline 1","3","Trust management for widely distributed systems - Department of Computer Science and Technology | - University of Cambridge"
"2004","The Algorithm begins as First Ambient AI","Historical markers for the first iterations of ambient algorithmic influence.","Not in source","Project Launch","Tech Events","3","AI as HistoryMaker: How Pure Potential Becomes the Past - John Rector"
"2004-11-01","Technical Report Number 608","'Trust management for widely distributed systems' published by University of Cambridge Computer Laboratory.","","Pipeline Development","Pipeline Timeline 1","3","Trust management for widely distributed systems - Department of Computer Science and Technology | - University of Cambridge"
"2005-01-01","IMAPP Commencement","The Institute for Mathematics, Astrophysics and Particle Physics formally begins at Radboud University.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2006-01-01","ANVUR Creation","The National Evaluation Agency for University and Research (ANVUR) is created in Italy via law no. 286.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2006","Conservapedia launched","Launch of a conservative-leaning alternative to Wikipedia.","Conservapedia","Project Launch","Tech Events","4","Grokipedia - Wikipedia"
"2007-01-01","PsychoPy Initial Publication & FFM Refinement","Publication of 'PsychoPy - Psychophysics software in Python' 6 and the start of FFM process refinement during NASA Ares I and SLS programs 7.","","Pipeline Development","Pipeline Timeline 1","6, 7","PsychoPy - Psychology software for Python - MEG Core; five-factor model ffm: Topics by Science.gov"
"2007-05-01","Theoretical Foundation Publication","Ignacio López publishes 'A Foundation for Perception in Autonomous Systems', providing a GST-based framework.","","Pipeline Development","Pipeline Timeline 1","5","Model-based Self-awareness Patterns for Autonomy - Carlos Hernandez Corbato"
"2007-09-01","Apprenticeship Start","The Architect begins doctoral scholarship at Florida State University, establishing core skills in inquiry and systems-level analysis.","","Pipeline Development","Pipeline Timeline 1","8, 9","jeremy_academics.md; Doctoral Foundations of the Truth Engine Architecture"
"2008-01-01","Advanced Diagnostics Immersion","Doctoral coursework in Game Theory and Quantitative Analysis provides fluency in strategic modeling and diagnostic mechanics.","","Pipeline Development","Pipeline Timeline 1","8","jeremy_academics.md"
"2008-02-01","ASys Vision Formalization","Sanz and Rodríguez establish model-based autonomy principles in 'The ASys vision'.","","Pipeline Development","Pipeline Timeline 1","5","Model-based Self-awareness Patterns for Autonomy - Carlos Hernandez Corbato"
"2008-03-01","Master's Thesis Completion","Carlos Hernández completes 'Adding consciousness to cognitive architectures', an early iteration of pipeline logic.","","Pipeline Development","Pipeline Timeline 1","5","Model-based Self-awareness Patterns for Autonomy - Carlos Hernandez Corbato"
"2008-05-01","Moratti Law Adoption","Recruitment procedures for temporary assistant professors regulated via DR 369/2008.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2009-01-01","Neuroscience Stimuli Publication","Publication of 'Generating stimuli for neuroscience using PsychoPy' in Front. Neuroinform.","","Pipeline Development","Pipeline Timeline 1","6","PsychoPy - Psychology software for Python - MEG Core"
"2010-01-01","PsychoPy v1.63.00 & FFM Prototype","Release of PsychoPy v1.63.00 featuring AutoLogging 6. Prototype development of Functional Fault Model (FFM) for Cryogenic Systems 7.","","Pipeline Development","Pipeline Timeline 1","6, 7","PsychoPy - Psychology software for Python - MEG Core; five-factor model ffm: Topics by Science.gov"
"2010-01-02","Dissertation Prospectus Defense","Successful defense of 'The Effect of Institutional Origins of Policy on the Feedback Process' at FSU.","","Pipeline Development","Pipeline Timeline 1","8","jeremy_academics.md"
"2010-07-06","UCL Commitment Iteration","Université Catholique de Louvain reiterates commitment to the European Charter for Researchers.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2010-10-01","OASys Ontology Publication","Julita Bermejo publishes 'OASys: Ontology for Autonomous Systems' providing software engineering assets.","","Pipeline Development","Pipeline Timeline 1","5","Model-based Self-awareness Patterns for Autonomy - Carlos Hernandez Corbato"
"2010-11-01","FFM Technical Component Definition","Definition of primary technical components for FFM, including sensors for real-time detection of Fast Flux service networks.","","Pipeline Development","Pipeline Timeline 1","7","five-factor model ffm: Topics by Science.gov"
"2010-12-01","Gelmini Reform & Science Faculty Memo","Approval of Italian Law 240/2010 2. Radboud University Science faculty issues memo on tenure-track positions 2.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2011-01-01","ANVUR & Trento Regulation Updates","Approval of ANVUR implementation regulations and University of Trento's DR 117 following the Gelmini Law.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2011-03-01","EU Approval of UCL HR Strategy","European Commission approves UCL’s HR Strategy for Researchers 2011-2014.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2011-07-01","Legislative Decree d. Lgs. 142/2011","Italian government approves decree devolving national functions for University of Trento to the Autonomous Province of Trento.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2011-09-01","Testbed Robustness Research","Arturo Bajuelos Castillo completes research on robotic navigation robustness using self-reconfigurable control.","","Pipeline Development","Pipeline Timeline 1","5","Model-based Self-awareness Patterns for Autonomy - Carlos Hernandez Corbato"
"2012-04-23","Devolution Implementation","Implementation of new statute for University of Trento and introduction of new Departments via D.R. 167.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2013-01-01","General Development Conclusion","Completion of a seven-year development period 5 and the introduction of the autonomous Maxwell's demon model at UC Berkeley 10.","","Pipeline Development","Pipeline Timeline 1","5, 10","Model-based Self-awareness Patterns for Autonomy - Carlos Hernandez Corbato; Thermodynamics of Correlations and Structure in Information Engines - Complexity Sciences Center"
"2013-04-04","IMR Staff Development Report","Publication of the Nijmegen School of Management report on junior academic careers.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2013-05-27","Pattern Language Publication","Publication of 'Three patterns for autonomous robot control architecting' formalizing design strategies.","","Pipeline Development","Pipeline Timeline 1","5","Model-based Self-awareness Patterns for Autonomy - Carlos Hernandez Corbato"
"2013-07-01","UCL Self-assessment Approval","Academic Council approves HRS4R 2011-2014 self-assessment on recruitment action plans.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"2013-08-13","Truth Engine Strategy v8.13","Recording of Driver Diagram for the Truth Engine (Project Joints) involving care alignment drivers.","","Pipeline Development","Pipeline Timeline 1","11","Comparing Lean and IHI Quality Improvement Richard Scoville, PhD"
"2013-09-29","PhD Thesis Completion","Finalization of 'Model-based Self-awareness Patterns for Autonomy' marking completion of the OM Architectural Framework.","","Pipeline Development","Pipeline Timeline 1","5","Model-based Self-awareness Patterns for Autonomy - Carlos Hernandez Corbato"
"2013-10-01","Franchise Document Corpus Start","Initial assembly and tracking of franchise disclosure records for no-poach clause analysis.","","Pipeline Development","Pipeline Timeline 1","12","Transforming Unstructured Text into Data with Context Rule Assisted Machine Learning (CRAML) - arXiv"
"2014-01-01","FFM Failure Isolation Implementation","Implementation of functional fault models to automate failure isolation in ground systems operations.","","Pipeline Development","Pipeline Timeline 1","7","five-factor model ffm: Topics by Science.gov"
"2015-01-01","No Poach Prevalence Peak","Period through 2017 where over 60% of franchise records contained no-poach clauses.","","Pipeline Development","Pipeline Timeline 1","12","Transforming Unstructured Text into Data with Context Rule Assisted Machine Learning (CRAML) - arXiv"
"2016-01-01","PsychoJS & FFM Maturity","Start of PsychoJS development for web browsers 6. FFM process matured to include conceptual design and verification for NASA 7.","","Pipeline Development","Pipeline Timeline 1","6, 7, 13","PsychoPy - Psychology software for Python - MEG Core; five-factor model ffm: Topics by Science.gov; Formal Verification of Multi-Paxos for Distributed Consensus - arXiv"
"2016-01-02","Publication of FM 2016 Paper","Formal verification of Multi-Paxos published in FM 2016: Formal Methods.","","Pipeline Development","Pipeline Timeline 1","13","Formal Verification of Multi-Paxos for Distributed Consensus - arXiv"
"2016-02-17","Functional Thermodynamics Publication","'Identifying functional thermodynamics in autonomous Maxwellian ratchets' published in New Journal of Physics.","","Pipeline Development","Pipeline Timeline 1","10","Thermodynamics of Correlations and Structure in Information Engines - Complexity Sciences Center"
"2016-07-24","Stage 5 Framework Discussions","Series of discussions (July 24-30) regarding Stage 5 emotional challenges, tribalism, and methodological synthesis.","","Pipeline Development","Pipeline Timeline 1","14","Emotional challenges of Stage 5 - Theory Engine"
"2016-09-09","Fluid Mode Summary","Summary of Stage 5 as 'fluid mode' based on David Chapman's development framework.","","Pipeline Development","Pipeline Timeline 1","14","Emotional challenges of Stage 5 - Theory Engine"
"2017-01-01","Discovery of TLAPS Bug","Discovery of an undocumented coalescing bug in the TLAPS PTL backend.","","Pipeline Development","Pipeline Timeline 1","13","Formal Verification of Multi-Paxos for Distributed Consensus - arXiv"
"2017","Introduction of Transformer model architecture","Introduced a novel type of neural network algorithm that became the basis for Large Language Models (LLMs).","Google","Project Launch","Tech Events","5","Attention is not all you need: the complicated case of ethically using large language models in healthcare and medicine - PMC - NIH"
"2017","Publication of Christiano et al. (2017)","Work titled ""Deep Reinforcement Learning from Human Preferences"" introducing RLHF for training agents on complex tasks.","OpenAI","Publication","Tech Events","6","A Comparison of Reinforcement Learning (RL) and RLHF - IntuitionLabs"
"2017-01-13","Correlation-powered Engines Publication","'Correlation-powered information engines and the thermodynamics of self-correction' published in Physical Review E.","","Pipeline Development","Pipeline Timeline 1","10","Thermodynamics of Correlations and Structure in Information Engines - Complexity Sciences Center"
"2017-05-01","Birth of ZenCash","Project founded that would become the Horizen Truth Engine and sidechain platform.","","Pipeline Development","Pipeline Timeline 1","15","Horizen: A Blockchain Platform for Fully Customizable Decentralized Applications - Crypto Whitepapers"
"2017-05-30","Transient Dissipation Publication","Study on physical information transduction published in Physical Review Letters.","","Pipeline Development","Pipeline Timeline 1","10","Thermodynamics of Correlations and Structure in Information Engines - Complexity Sciences Center"
"2017-06-23","Requisite Variety Publication","Paper establishing engine memory must match environmental memory published in Journal of Statistical Physics.","","Pipeline Development","Pipeline Timeline 1","10","Thermodynamics of Correlations and Structure in Information Engines - Complexity Sciences Center"
"2017-08-28","Thermodynamics of Modularity ArXiv","Research released on arXiv identifying modularity dissipation as a structural cost of computation.","","Pipeline Development","Pipeline Timeline 1","10","Thermodynamics of Correlations and Structure in Information Engines - Complexity Sciences Center"
"2017-10-01","Krueger & Ashenfelter Working Paper","Research published identifying collusive anti-competitive restraints in the franchise sector.","","Pipeline Development","Pipeline Timeline 1","12","Transforming Unstructured Text into Data with Context Rule Assisted Machine Learning (CRAML) - arXiv"
"2018-01-01","Information Engine Dissertation","Alexander Blades Boyd consolidates thermodynamic control principles for information ratchets.","","Pipeline Development","Pipeline Timeline 1","10","Thermodynamics of Correlations and Structure in Information Engines - Complexity Sciences Center"
"2018","Publication of Sutton & Barto (2018)","Foundational text on Reinforcement Learning formalism and algorithms titled ""Reinforcement Learning: An Introduction"".","Not in source","Publication","Tech Events","6","A Comparison of Reinforcement Learning (RL) and RLHF - IntuitionLabs"
"2018-02-06","Retrieval of Paxos.tla","Retrieval of the Basic Paxos TLA+ specification used as the foundation for Multi-Paxos work.","","Pipeline Development","Pipeline Timeline 1","13","Formal Verification of Multi-Paxos for Distributed Consensus - arXiv"
"2018-03-16","Reporting of TLAPS Bug","GitHub issue for the TLAPS bug documented, leading to the need for remedial proofs.","","Pipeline Development","Pipeline Timeline 1","13","Formal Verification of Multi-Paxos for Distributed Consensus - arXiv"
"2018-06-01","PsychoPy Release 1.90.2","Publication date of the PsychoPy Release 1.90.2 documentation.","","Pipeline Development","Pipeline Timeline 1","6","PsychoPy - Psychology software for Python - MEG Core"
"2018-07-01","Regulatory Intervention and Settlements","State attorneys general and Washington State negotiate settlements to remove no-poach clauses.","","Pipeline Development","Pipeline Timeline 1","12","Transforming Unstructured Text into Data with Context Rule Assisted Machine Learning (CRAML) - arXiv"
"2019-01-01","Completion of Corrected Paxos Paper","Preparation of the extended Multi-Paxos verification paper fixing the TLAPS bug-induced errors.","","Pipeline Development","Pipeline Timeline 1","13","Formal Verification of Multi-Paxos for Distributed Consensus - arXiv"
"2019","NHS Long Term Plan Publication","The plan recommends the use of decision-support and AI to help clinicians in applying best practice and eliminate variation in care.","NHS England","Publication","Tech Events","7","AI White Paper - The MPS Foundation"
"2019-01-22","Cognitive Systems Article Received","'Cognitive Systems for Monitoring: Architectural View' manuscript received.","","Pipeline Development","Pipeline Timeline 1","16","Cognitive Systems for Monitoring: Architectural View"
"2019-05-08","Cognitive Systems Article Accepted","Article accepted for publication in the cognitive systems monitoring field.","","Pipeline Development","Pipeline Timeline 1","16","Cognitive Systems for Monitoring: Architectural View"
"2019-05-24","Cognitive Systems Article Online","Online publication of the architectural view for cognitive systems realization.","","Pipeline Development","Pipeline Timeline 1","16","Cognitive Systems for Monitoring: Architectural View"
"2019-09-09","Access to TLAPS","Retrieval date for information regarding the TLA+ Proof System.","","Pipeline Development","Pipeline Timeline 1","13","Formal Verification of Multi-Paxos for Distributed Consensus - arXiv"
"2019-10-01","Horizen Truth Engine Whitepaper","Publication detailing core protocol behavior for adjudicating sidechain consensus.","","Pipeline Development","Pipeline Timeline 1","15","Horizen: A Blockchain Platform for Fully Customizable Decentralized Applications - Crypto Whitepapers"
"2019-11-01","Access to Isabelle/TLAPS Tactics","Retrieval date for Isabelle generic proof assistant and TLA+ tactics information.","","Pipeline Development","Pipeline Timeline 1","13","Formal Verification of Multi-Paxos for Distributed Consensus - arXiv"
"2020-03","Virtual queer gather surge during pandemic","Transition of queer underground parties to Zoom rooms due to COVID-19 lockdowns, later becoming persistent infrastructure.","Naked Gay Party SBN / NYC Health Dept","Social Trend","Tech Events","8","LIMINAL_DIGITAL_SPACES.md"
"2021-01-01","Establishment of NLx Research Hub","NSF-supported hub created to facilitate recruitment and labor market convergence.","","Pipeline Development","Pipeline Timeline 1","12","Transforming Unstructured Text into Data with Context Rule Assisted Machine Learning (CRAML) - arXiv"
"2021","Elon Musk affection for Wikipedia","Musk expressed affection for Wikipedia on its 20th anniversary before later feuds.","Elon Musk","Corporate Announcement","Tech Events","4","Grokipedia - Wikipedia"
"2022","Support for Shared CAIRE project","The MPS Foundation supported the Shared Care AI Role Evaluation project as part of its first annual Grant Programme.","The MPS Foundation","Financial Milestone","Tech Events","7","AI White Paper - The MPS Foundation"
"2022","InstructGPT Publication","The paper ""Training language models to follow instructions with human feedback"" demonstrated RLHF efficiency.","OpenAI","Publication","Tech Events","6","A Comparison of Reinforcement Learning (RL) and RLHF - IntuitionLabs"
"2022-03-22","Tesla Gigafactory Germany opening","Elon Musk attends the opening ceremony of the new Gigafactory in Gruenheide.","Tesla","Corporate Announcement","Tech Events","2","Elon Musk, Grokipedia, and the battle for truth | Al Majalla"
"2022-11-01","ChatGPT Launch","OpenAI's chatbot launched, sparking interest in generative AI and demonstrating RLHF for alignment.","OpenAI","Project Launch","Tech Events","7","AI White Paper - The MPS Foundation"
"2022-12-15","Constitutional AI Paper","'Constitutional AI: Harmlessness from AI Feedback' released by Anthropic.","","Pipeline Development","Pipeline Timeline 1","17","Constitutional AI: Harmlessness from AI Feedback - arXiv"
"2023","GPT-4 Technical Report Publication","Release of the technical report for GPT-4, a major milestone in LLM development.","OpenAI","Publication","Tech Events","9","Large Language Models Hallucination: A Comprehensive Survey - arXiv"
"2023","Hallucination Survey Publications","Multiple foundational surveys defining and categorizing hallucination in natural language generation and LLMs.","Various (Ji et al., Zhang et al., Huang et al.)","Publication","Tech Events","9","Large Language Models Hallucination: A Comprehensive Survey - arXiv"
"2023","xAI founded","Elon Musk founds xAI to challenge AI dominance and pursue 'understanding of the universe.'","xAI","Corporate Announcement","Tech Events","4","Grokipedia - Wikipedia"
"2023","Ruwiki launched","Russian-government-friendly alternative to Wikipedia launched.","Ruwiki","Project Launch","Tech Events","4","Grokipedia - Wikipedia"
"2023","Publication of AI Failure Study","Academic research documenting 'Buggy-Code Completion' where AI makes existing context bugs worse.","NeurIPS","Publication","Tech Events","10","CUSTOM_LLM_DESIGN.md"
"2023-01-19","Manuscript received for Stefan Harrer Article","Perspective paper describing how LLMs could transform data management workflows in healthcare.","PMC / NIH","Publication","Tech Events","5","Attention is not all you need: the complicated case of ethically using large language models in healthcare and medicine - PMC - NIH"
"2023-01-23","CRAML Methodology Publication","Publication of Context Rule Assisted Machine Learning (CRAML) for no-code text analysis.","","Pipeline Development","Pipeline Timeline 1","12","Transforming Unstructured Text into Data with Context Rule Assisted Machine Learning (CRAML) - arXiv"
"2023-01-28","Submission of ""Truth Machines"" Paper","Academic paper exploring how AI models like ChatGPT operationalize and synthesize truth.","arXiv","Publication","Tech Events","11","Truth Machines: Synthesizing Veracity in AI Language Models - arXiv"
"2023-03","X.AI company creation","Elon Musk created X.AI to develop TruthGPT, a truth-seeking AI to compete with OpenAI.","X.AI","Project Launch","Tech Events","12, 13","Elon Musk develops his own AI ""TruthGPT"" in search of the universal truth - DataScientest; Elon Musk's xAI Colossus: What It Is and Why It's a Big Deal? | Bitget News"
"2023-03-12","ICIST Conference","Presentation and conclusion of research papers at the 13th International Conference on Information Society and Technology.","","Pipeline Development","Pipeline Timeline 1","18","Disruptive Information Technologies for a Smart Society: Proceedings of the 13th International Conference on Information Society and Technology (ICIST) 3031507541, 9783031507540 - DOKUMEN.PUB"
"2023-03-20","Data collection start for Bittensor study","Start date for a longitudinal study analyzing decentralization through on-chain data events.","Bittensor Protocol","Research Methodology","Tech Events","14","Bittensor Protocol: The Bitcoin in Decentralized Artificial Intelligence? A Critical and Empirical Analysis - arXiv"
"2023-04-21","TruthGPT Announcement","Publication of news regarding Elon Musk's development of TruthGPT.","Liora (formerly DataScientest)","Publication","Tech Events","12","Elon Musk develops his own AI ""TruthGPT"" in search of the universal truth - DataScientest"
"2023-04-28","Edition 2022 Re-package","Delivery of PA/SCHOL 2022 Plus CSV packages, formalizing Standard/Plus tiering.","","Pipeline Development","Pipeline Timeline 1","19","Petersons_Work_Pattern_Report_2022-2024.md"
"2023-05-27","Paper received for RLHF-Based Hallucination Tracking","Submission date for research presenting automated methods for tracking hallucination over RLHF cycles.","Technical Engineering College Kirkuk","Publication Milestone","Tech Events","15","(PDF) Automating RLHF-Based Hallucination Tracking - ResearchGate"
"2023-08-01","Mid-year Anchor Delivery","Delivery of mid-year anchors for UG and UF/FA portfolios.","","Pipeline Development","Pipeline Timeline 1","19","Petersons_Work_Pattern_Report_2022-2024.md"
"2023-11-01","ICIST Proceedings Preface","Completion of the preface for disruptive information technologies proceedings.","","Pipeline Development","Pipeline Timeline 1","18","Disruptive Information Technologies for a Smart Society: Proceedings of the 13th International Conference on Information Society and Technology (ICIST) 3031507541, 9783031507540 - DOKUMEN.PUB"
"2023-11","Grok chatbot launched","xAI releases its flagship AI chatbot Grok, connected to the X platform, as a rival to ChatGPT.","xAI","Project Launch","Tech Events","2, 13","Elon Musk, Grokipedia, and the battle for truth | Al Majalla; Elon Musk's xAI Colossus: What It Is and Why It's a Big Deal? | Bitget News"
