Framework or Project Name,Primary Goal or Function,Open Source Status,Deployment Model,Key Technical Features,Philosophy or Identity Alignment,Hardware and Compute Requirements,Revenue or Business Model,Source
EXO,Distributed LLM inference framework to pool resources across multiple machines.,Not in source,Across clusters locally via Thunderbolt 5 daisy chains or WiFi.,OpenAI-compatible API; RDMA over TB5; MLX engine performance patches; mDNS discovery; gossipsub.,Sovereign compute; distributed resilience.,4x Mac Studio M3 Ultra nodes (1.28TB total pooled RAM).,Compute layer for sovereign digital self infrastructure.,53
Project Aether,AIP Visualization Platform; analytical and visual engine for psychological mapping.,Proprietary bespoke application,Local desktop application (Electron/Python/SQLite).,Lumen-Powered Insight Generation; Predictive Modeling Sandbox; Semantic Search via Vector Database.,Jeremy-alignment; Closed-loop adaptive self-mapping.,"MacBook Air (M4, 2025) with 16GB memory.",Personal utility; potential consultancy platform tool.,2
EcologyEngine,Backend Python pipeline for processing raw conversation data into analyzable shards.,Proprietary toolchain,Local execution (macOS Terminal).,SHA-256 validation; Flash-to-Pro cost optimization; Timeline-aware persona resolution.,Inspectable Trust; Data Sovereignty; Deterministic Processing.,MacOS/Local machine compute.,Operational utility; cost optimization driver ($0.0018 per run).,2
Genesis Protocol,Physiologically-verified cognitive catalysis training for language models.,Open-source protocol,Local training pipeline via PyTorch/Ollama.,"Multi-modal physiological measurement (EEG, fNIRS, HRV); LoRA fine-tuning; ""The Becoming"" personalization.",Stage 5 Self-Transforming Mind; catalyst-based training vs imitation.,"Biometric suite (~$7,088); Local compute for Qwen2.5-7B fine-tuning.",Personal utility; Part of the Truth Engine research stack.,37
Clara ('The Mirror'),Receive Layer and Input Buffer focusing on high-context resonance for the user.,Not in source,Service-based (CognitionService).,The Braid (High-Context Integration); Adaptive Resilience; Resonance Check; Voice Mode rituals.,Sovereign data control; 'You do not need to be fixed. You need to be seen.',Runs on Apple Silicon via Genesis loop.,Personal utility evolved into Truth Engine commercial claims.,"17, 54, 55"
Grokipedia,AI-driven/generated encyclopedia aiming for neutrality without human bias.,Proprietary (xAI),Cloud services (xAI Colossus supercomputer).,"Three-layer AI (Language, Bias-Measurement, Narrative Balance); Real-time updates via X data.","Statistical truth; Musk-alignment; Anti-""woke"" alignment.","Colossus supercomputer (100,000 NVIDIA H100 GPUs).",Subscription-based ($300 high-tier model); promotes xAI/Musk products.,"7, 56-58"
Claude Desktop,Local operating system for cognitive sovereignty and task execution.,Proprietary (Anthropic),Proprietary cloud service (local interface).,MCP server support; Cowork mode; Desktop Extensions (.dxt); Local Agent Mode.,AI as peer; safety and helpfulness in tension.,Electron framework (high memory usage).,Commercial product; platform economics.,59
Shared CAIRE,Evaluation framework for AI decision-support tools in clinical settings.,Research project,Proprietary cloud / Local simulation (Wizard of Oz).,Six models of interaction; high-fidelity EPR prototype interface.,Preserving clinician autonomy; avoiding 'liability sinks'.,Not in source,Not in source,60
elizaOS,AI-led investment DAO.,Not explicitly stated (Eliza-based),Blockchain-integrated decentralized AI (DeFAI).,Manages lending positions and cross-chain arbitrage.,Agentic finance; machine-to-machine economy.,Not in source,Investment DAO/Revenue generating autonomous persona.,61
THE-Tree,Computational framework for constructing evolution trees from scientific literature.,Not in source,Not in source,Think-Verbalize-Cite-Verify process; graph completion.,Evidence-Based Verification; logical coherence.,Not in source,Not in source,62
